id;X;Y;Z;dhid;V
0;138.6866706;258.0065188;62.52810357;0;6.574695059
1;138.7339907;258.1304007;83.72603814;0;7.051107511
2;138.5656335;257.6896489;8.307203738;0;0.388589411
3;138.5601672;257.6753385;5.858483203;0;0.410652436
4;138.6626044;257.9435144;51.74715877;0;3.651777939
5;138.7437793;258.1560268;88.11101831;0;4.285777462
6;138.6500691;257.9106976;46.13173242;0;1.452958225
7;138.7617273;258.2030138;96.15116154;0;9.290961702
8;138.6446144;257.8964174;43.68820267;0;1.784831485
9;138.6556766;257.9253779;48.64374987;0;3.23045472
10;138.7678383;258.2190121;98.88869631;0;13.49158248
11;138.6674913;257.9563083;53.9363655;0;2.902707645
12;138.5876309;257.7472371;18.16134865;0;0.227974447
13;138.6917486;258.0198127;64.80286767;0;6.199411544
14;138.6217816;257.8366422;33.45981024;0;1.621580567
15;138.565396;257.6890271;8.200789727;0;0.506832505
16;138.6174016;257.8251754;31.49768971;0;1.561084037
17;138.5746866;257.7133495;12.36269481;0;0.464085703
18;138.6140349;257.8163617;29.98953247;0;1.349583307
19;138.686849;258.0069858;62.60801168;0;7.913208452
20;138.5857148;257.742221;17.30302274;0;0.504449499
21;138.5824691;257.7337237;15.84900633;0;0.392284089
22;138.5666181;257.6922265;8.748262888;0;0.421713052
23;138.6693371;257.9611403;54.7631885;0;2.702478937
24;138.6668438;257.954613;53.64628881;0;2.397562895
25;138.611937;257.8108695;29.04973883;0;1.22725255
26;138.7558898;258.1877314;93.53612709;0;7.347580611
27;138.7370099;258.1383049;85.07855283;0;5.187576017
28;138.6502198;257.9110922;46.19926251;0;1.623393132
29;138.5642922;257.6861374;7.706332969;0;0.383430007
30;138.6124613;257.8122422;29.284628;0;0.792735461
31;138.7556415;258.1870816;93.42492681;0;8.372677751
32;138.7068387;258.0593179;71.56275759;0;8.226388455
33;138.7478098;258.1665783;89.91653633;0;4.738414796
34;138.7663504;258.215117;98.22219211;0;12.59983653
35;138.7773976;258.244038;103.1709785;0;10.12027613
36;138.6988428;258.038385;67.98084293;0;4.510854376
37;138.5729503;257.708804;11.58490567;0;0.718144416
38;138.6690474;257.9603819;54.6334218;0;2.711560931
39;138.7833976;258.2597457;105.8587863;0;12.03014698
40;138.6095298;257.8045675;27.97137776;0;1.167870382
41;138.7104902;258.0688774;73.19853634;0;5.874223966
