cod;cod2;cod3;X;Y;Z;Cu;length_of_core
160;BHL31;5;560;525;92;1.22;5
161;BHL31;5;560;525;87;1.38;5
162;BHL31;5;560;525;82;0.87;5
163;BHL31;5;560;525;77;1.19;5
173;BHL33;5;640;525;122;1.15;5
174;BHL33;5;640;525;117;1.31;5
175;BHL33;5;640;525;112;0.98;5
176;BHL33;5;640;525;107;0.62;5
177;BHL33;5;640;525;102;0.85;5
178;BHL33;5;640;525;97;0.98;5
179;BHL33;5;640;525;92;0.86;5
180;BHL33;5;640;525;87;1.8;5
181;BHL33;5;640;525;82;1.68;5
182;BHL33;5;640;525;77;0.99;5
193;BHL36;5;220;470;122;3.2;5
194;BHL36;5;220;470;117;1.73;5
195;BHL36;5;220;470;112;2.85;5
196;BHL36;5;220;470;107;2.94;5
197;BHL36;5;220;470;102;1.4;5
198;BHL36;5;220;470;97;0.83;5
199;BHL36;5;220;470;92;0.63;5
200;BHL36;5;220;470;87;1.7;5
201;BHL36;5;220;470;82;2.24;5
202;BHL38;5;315;475;122;1.4;5
203;BHL38;5;315;475;117;1.93;5
204;BHL38;5;315;475;112;2.88;5
205;BHL38;5;315;475;107;1.23;5
206;BHL38;5;315;475;102;1.08;5
207;BHL38;5;315;475;97;0.71;5
208;BHL38;5;315;475;92;1.07;5
209;BHL38;5;315;475;87;1.16;5
210;BHL38;5;315;475;82;1.46;5
211;BHL38;5;315;475;77;1.67;5
215;BHL40;5;415;475;122;1.29;5
216;BHL40;5;415;475;117;1.02;5
217;BHL40;5;415;475;112;1.57;5
218;BHL40;5;415;475;107;1.78;5
219;BHL40;5;415;475;102;0.61;5
220;BHL40;5;415;475;97;0.98;5
221;BHL40;5;415;475;92;0.9;5
222;BHL40;5;415;475;87;0.86;5
223;BHL40;5;415;475;82;0.9;5
224;BHL40;5;415;475;77;1.07;5
231;BHL42;5;515;475;122;0.69;5
232;BHL42;5;515;475;117;0.69;5
233;BHL42;5;515;475;112;0.54;5
234;BHL42;5;515;475;107;1.12;5
235;BHL42;5;515;475;102;0.81;5
236;BHL42;5;515;475;97;0.58;5
237;BHL42;5;515;475;92;0.82;5
238;BHL42;5;515;475;87;1;5
239;BHL42;5;515;475;82;1.13;5
240;BHL42;5;515;475;77;1.52;5
249;BHL44;5;610;475;122;0.98;5
250;BHL44;5;610;475;117;0.99;5
251;BHL44;5;610;475;112;0.82;5
252;BHL44;5;610;475;107;0.7;5
253;BHL44;5;610;475;102;0.72;5
254;BHL44;5;610;475;97;0.72;5
255;BHL44;5;610;475;92;1.43;5
256;BHL44;5;610;475;87;0.92;5
257;BHL44;5;610;475;82;1.3;5
258;BHL44;5;610;475;77;0.99;5
270;BHL45;5;660;475;122;1.8;5
271;BHL45;5;660;475;117;0.99;5
272;BHL45;5;660;475;112;1.23;5
273;BHL45;5;660;475;107;0.67;5
274;BHL45;5;660;475;102;0.54;5
275;BHL45;5;660;475;97;0.89;5
276;BHL45;5;660;475;92;1.15;5
277;BHL45;5;660;475;87;1.68;5
278;BHL45;5;660;475;82;1.61;5
279;BHL45;5;660;475;77;1.55;5
291;BHL50;5;365;420;122;1.36;5
292;BHL50;5;365;420;117;1.61;5
293;BHL50;5;365;420;112;1.25;5
294;BHL50;5;365;420;107;1.85;5
295;BHL50;5;365;420;102;1.13;5
296;BHL50;5;365;420;97;0.85;5
297;BHL50;5;365;420;92;0.74;5
298;BHL50;5;365;420;87;1.75;5
299;BHL50;5;365;420;82;1.11;5
300;BHL50;5;365;420;77;1.23;5
307;BHL52;5;465;425;122;0.7;5
308;BHL52;5;465;425;117;0.69;5
309;BHL52;5;465;425;112;0.78;5
310;BHL52;5;465;425;107;1;5
311;BHL52;5;465;425;102;1.18;5
312;BHL52;5;465;425;97;0.77;5
313;BHL52;5;465;425;92;0.64;5
314;BHL52;5;465;425;87;0.84;5
315;BHL52;5;465;425;82;0.93;5
316;BHL52;5;465;425;77;1.21;5
324;BHL54;5;565;425;122;0.86;5
325;BHL54;5;565;425;117;0.68;5
326;BHL54;5;565;425;112;0.58;5
327;BHL54;5;565;425;107;0.76;5
328;BHL54;5;565;425;102;0.85;5
329;BHL54;5;565;425;97;0.56;5
330;BHL54;5;565;425;92;1.3;5
331;BHL54;5;565;425;87;1.39;5
332;BHL54;5;565;425;82;1.29;5
333;BHL54;5;565;425;77;0.87;5
341;BHL56;5;660;425;122;2.07;5
342;BHL56;5;660;425;117;1.47;5
343;BHL56;5;660;425;112;0.68;5
344;BHL56;5;660;425;107;0.65;5
345;BHL56;5;660;425;102;0.81;5
346;BHL56;5;660;425;97;0.53;5
347;BHL56;5;660;425;92;1.86;5
348;BHL56;5;660;425;87;1.25;5
349;BHL56;5;660;425;82;1.27;5
350;BHL56;5;660;425;77;2.55;5
358;BHL59;5;220;370;122;2.11;5
359;BHL59;5;220;370;117;1.97;5
360;BHL59;5;220;370;112;1.51;5
361;BHL59;5;220;370;107;2.66;5
362;BHL59;5;220;370;102;1.36;5
363;BHL59;5;220;370;97;1.14;5
364;BHL59;5;220;370;92;0.9;5
365;BHL59;5;220;370;87;1.31;5
366;BHL61;5;320;370;122;1.53;5
367;BHL61;5;320;370;117;1.33;5
368;BHL61;5;320;370;112;1.68;5
369;BHL61;5;320;370;107;1.93;5
370;BHL61;5;320;370;102;1.13;5
371;BHL61;5;320;370;97;0.92;5
372;BHL61;5;320;370;92;0.74;5
373;BHL61;5;320;370;87;1.65;5
374;BHL61;5;320;370;82;1.43;5
375;BHL63;5;415;370;122;0.99;5
376;BHL63;5;415;370;117;1.33;5
377;BHL63;5;415;370;112;1.03;5
378;BHL63;5;415;370;107;1.21;5
379;BHL63;5;415;370;102;1.68;5
380;BHL63;5;415;370;97;0.91;5
381;BHL63;5;415;370;92;0.44;5
382;BHL63;5;415;370;87;0.86;5
383;BHL63;5;415;370;82;1.07;5
384;BHL63;5;415;370;77;1.05;5
385;BHL65;5;515;370;122;0.84;5
386;BHL65;5;515;370;117;0.63;5
387;BHL65;5;515;370;112;0.72;5
388;BHL65;5;515;370;107;0.49;5
389;BHL65;5;515;370;102;0.97;5
390;BHL65;5;515;370;97;0.72;5
391;BHL65;5;515;370;92;0.54;5
392;BHL65;5;515;370;87;0.92;5
393;BHL65;5;515;370;82;0.72;5
394;BHL65;5;515;370;77;0.67;5
403;BHL67;5;615;375;122;0.82;5
404;BHL67;5;615;375;117;1.08;5
405;BHL67;5;615;375;112;0.84;5
406;BHL67;5;615;375;107;0.66;5
407;BHL67;5;615;375;102;0.91;5
408;BHL67;5;615;375;97;-99;5
409;BHL67;5;615;375;92;1.22;5
410;BHL67;5;615;375;87;1.02;5
411;BHL67;5;615;375;82;0.82;5
412;BHL67;5;615;375;77;0.9;5
424;BHL68;5;660;375;122;0.97;5
425;BHL68;5;660;375;117;1.04;5
426;BHL68;5;660;375;112;0.88;5
427;BHL68;5;660;375;107;0.9;5
428;BHL68;5;660;375;102;0.61;5
429;BHL68;5;660;375;97;0.72;5
430;BHL68;5;660;375;92;0.93;5
431;BHL68;5;660;375;87;0.79;5
432;BHL68;5;660;375;82;1.21;5
433;BHL68;5;660;375;77;1.55;5
442;BHL71;5;270;320;122;1.63;5
443;BHL71;5;270;320;117;2.24;5
444;BHL71;5;270;320;112;1.66;5
445;BHL71;5;270;320;107;2.3;5
446;BHL71;5;270;320;102;1.24;5
447;BHL71;5;270;320;97;0.88;5
448;BHL71;5;270;320;92;0.63;5
449;BHL71;5;270;320;87;1.12;5
450;BHL71;5;270;320;82;1.4;5
451;BHL71;5;270;320;77;1.09;5
453;BHL73;5;370;320;122;1;5
454;BHL73;5;370;320;117;1.29;5
455;BHL73;5;370;320;112;1.2;5
456;BHL73;5;370;320;107;1.29;5
457;BHL73;5;370;320;102;1.75;5
458;BHL73;5;370;320;97;1.02;5
459;BHL73;5;370;320;92;0.85;5
460;BHL73;5;370;320;87;1.09;5
461;BHL73;5;370;320;82;0.96;5
462;BHL73;5;370;320;77;1.43;5
470;BHL75;5;465;320;122;1.22;5
471;BHL75;5;465;320;117;0.91;5
472;BHL75;5;465;320;112;0.93;5
473;BHL75;5;465;320;107;0.89;5
474;BHL75;5;465;320;102;0.9;5
475;BHL75;5;465;320;97;0.82;5
476;BHL75;5;465;320;92;0.37;5
477;BHL75;5;465;320;87;0.86;5
478;BHL75;5;465;320;82;0.91;5
479;BHL75;5;465;320;77;0.85;5
487;BHL77;5;565;320;122;0.57;5
488;BHL77;5;565;320;117;0.79;5
489;BHL77;5;565;320;112;0.8;5
490;BHL77;5;565;320;107;0.84;5
491;BHL77;5;565;320;102;1.22;5
492;BHL77;5;565;320;97;0.42;5
493;BHL77;5;565;320;92;0.53;5
494;BHL77;5;565;320;87;0.57;5
495;BHL77;5;565;320;82;0.64;5
496;BHL77;5;565;320;77;0.64;5
505;BHL79;5;660;320;122;1.59;5
506;BHL79;5;660;320;117;1.18;5
507;BHL79;5;660;320;112;0.7;5
508;BHL79;5;660;320;107;1.17;5
