BHID;X;Y;Z;Rec.Massica_F14;Alumina_F14;Alumina_F14acc
326;2328.75;10344;86.26;45.71;56.23;2570.2733
327;2544.33;10318.24;89.75;67.23;49.75;3344.6925
327;2544.33;10318.24;89.34;63.12;55.95;3531.564
327;2544.33;10318.24;88.84;71.35;58.93;4204.6555
327;2544.33;10318.24;88.34;46.43;58.01;2693.4043
327;2544.33;10318.24;87.84;71.76;60.14;4315.6464
327;2544.33;10318.24;87.34;49.96;59.73;2984.1108
327;2544.33;10318.24;86.84;66.41;57.21;3799.3161
327;2544.33;10318.24;86.34;56.35;58.8;3313.38
327;2544.33;10318.24;85.84;53.6;58.53;3137.208
327;2544.33;10318.24;85.34;56.45;56.36;3181.522
327;2544.33;10318.24;84.84;51.66;57.59;2975.0994
328;2734.89;10358.41;89.75;58.08;55.37;3215.8896
328;2734.89;10358.41;89.34;57.88;57.54;3330.4152
328;2734.89;10358.41;88.84;50.71;57.51;2916.3321
328;2734.89;10358.41;88.34;60.61;57.88;3508.1068
328;2734.89;10358.41;87.84;59.05;59.66;3522.923
328;2734.89;10358.41;87.34;60.38;59.43;3588.3834
328;2734.89;10358.41;86.84;52.88;57.38;3034.2544
328;2734.89;10358.41;86.34;66.11;57.85;3824.4635
328;2734.89;10358.41;85.84;75.4;56.23;4239.742
328;2734.89;10358.41;85.34;49.6;57.33;2843.568
328;2734.89;10358.41;84.84;55.4;56.84;3148.936
329;2930.29;10358.83;89.75;65.39;57.14;3736.3846
329;2930.29;10358.83;89.25;59.86;58.24;3486.2464
329;2930.29;10358.83;88.75;62.67;59.36;3720.0912
329;2930.29;10358.83;88.25;51.77;60.38;3125.8726
329;2930.29;10358.83;87.75;59.82;56.87;3401.9634
329;2930.29;10358.83;87.25;58.23;59.28;3451.8744
329;2930.29;10358.83;86.75;59.3;57.66;3419.238
329;2930.29;10358.83;86.25;54.58;56.65;3091.957
330;3137.37;10358.68;89.75;61.64;55.25;3405.61
330;3137.37;10358.68;89.44;66.92;57.48;3846.5616
330;3137.37;10358.68;89.13;55.83;58.3;3254.889
330;3137.37;10358.68;88.72;54.52;57.45;3132.174
330;3137.37;10358.68;88.22;55.1;58.82;3240.982
330;3137.37;10358.68;87.72;56.9;57.63;3279.147
330;3137.37;10358.68;87.22;52.48;58.56;3073.2288
330;3137.37;10358.68;86.72;63.43;60.86;3860.3498
330;3137.37;10358.68;86.22;51.31;58.78;3016.0018
331;3343.23;10358.74;89.75;60.45;55.51;3355.5795
331;3343.23;10358.74;89.34;60.85;54.05;3288.9425
331;3343.23;10358.74;88.84;60.32;57.17;3448.4944
331;3343.23;10358.74;88.34;66.43;59.22;3933.9846
331;3343.23;10358.74;87.84;69.64;59.46;4140.7944
331;3343.23;10358.74;87.22;53.76;58.6;3150.336
331;3343.23;10358.74;86.7;55.64;58.97;3281.0908
332;3554.61;10352.6;89.75;72.84;52.83;3848.1372
332;3554.61;10352.6;89.25;59.26;51.85;3072.631
332;3554.61;10352.6;88.75;74.6;59.51;4439.446
332;3554.61;10352.6;88.25;71.68;60.41;4330.1888
332;3554.61;10352.6;87.75;62.61;60.27;3773.5047
332;3554.61;10352.6;87.25;49.54;58.25;2885.705
333;3766.43;10353.21;89.75;73.57;53.37;3926.4309
333;3766.43;10353.21;89.34;70.52;54.45;3839.814
333;3766.43;10353.21;88.84;58.74;56.75;3333.495
333;3766.43;10353.21;88.34;74.08;58.29;4318.1232
333;3766.43;10353.21;87.84;58.89;57.65;3395.0085
333;3766.43;10353.21;87.34;52.29;57.06;2983.6674
333;3766.43;10353.21;86.84;51.87;57.86;3001.1982
333;3766.43;10353.21;86.34;55.15;58.07;3202.5605
333;3766.43;10353.21;85.91;61.19;56.42;3452.3398
333;3766.43;10353.21;85.56;43.25;57.86;2502.445
334;4569.89;10335.18;89.75;72.84;49.77;3625.2468
334;4569.89;10335.18;89.25;67.17;56.46;3792.4182
334;4569.89;10335.18;88.75;68.85;59.04;4064.904
334;4569.89;10335.18;88.25;67.25;59.49;4000.7025
334;4569.89;10335.18;87.75;37.24;58.05;2161.782
335;4567.31;10153.95;89.75;54.13;48.11;2604.1943
335;4567.31;10153.95;89.34;42.85;55.22;2366.177
335;4567.31;10153.95;88.84;50.69;57.07;2892.8783
335;4567.31;10153.95;88.34;69.77;57.95;4043.1715
335;4567.31;10153.95;87.7;59.57;57.51;3425.8707
336;4382.01;10162.08;89.75;70.72;53.89;3811.1008
336;4382.01;10162.08;89.34;68.94;59.58;4107.4452
336;4382.01;10162.08;88.84;56.18;58.28;3274.1704
336;4382.01;10162.08;88.34;54.99;56.97;3132.7803
336;4382.01;10162.08;87.84;49.85;58.76;2929.186
336;4382.01;10162.08;87.28;51.88;56.4;2926.032
337;4176.6;10149.95;89.75;71.29;52.95;3774.8055
337;4176.6;10149.95;89.34;78.14;60.34;4714.9676
337;4176.6;10149.95;88.84;62.72;60.89;3819.0208
337;4176.6;10149.95;88.34;49.59;60.18;2984.3262
337;4176.6;10149.95;87.75;45.45;58.73;2669.2785
338;3976.59;10141.26;89.75;71.46;52.95;3783.807
338;3976.59;10141.26;89.3;73.4;54.57;4005.438
338;3976.59;10141.26;88.8;69.38;57.1;3961.598
338;3976.59;10141.26;88.3;65.12;58.86;3832.9632
338;3976.59;10141.26;87.68;53.37;58.9;3143.493
338;3976.59;10141.26;87.16;42.13;56.8;2392.984
339;3754.73;10155.68;89.75;60.12;53.51;3217.0212
339;3754.73;10155.68;89.25;37.68;52.47;1977.0696
340;3576.77;10150.98;89.75;67.08;48.03;3221.8524
340;3576.77;10150.98;89.34;55.72;54.83;3055.1276
340;3576.77;10150.98;88.84;81.99;56.24;4611.1176
340;3576.77;10150.98;88.34;73.68;59;4347.12
340;3576.77;10150.98;87.84;42.85;58.89;2523.4365
340;3576.77;10150.98;87.34;35.79;58.49;2093.3571
340;3576.77;10150.98;86.88;29.82;56.99;1699.4418
341;3383.25;10149.34;89.75;72.54;57.46;4168.1484
341;3383.25;10149.34;89.34;58.86;57.62;3391.5132
341;3383.25;10149.34;88.84;51.18;58.11;2974.0698
341;3383.25;10149.34;88.34;53.87;59.25;3191.7975
341;3383.25;10149.34;87.84;51.11;57.32;2929.6252
341;3383.25;10149.34;87.34;59.3;59.82;3547.326
341;3383.25;10149.34;86.84;62.83;58.61;3682.4663
341;3383.25;10149.34;86.34;61.42;57.63;3539.6346
341;3383.25;10149.34;85.84;62.82;57.25;3596.445
341;3383.25;10149.34;85.34;49.47;57.31;2835.1257
341;3383.25;10149.34;84.84;39.11;56.55;2211.6705
341;3383.25;10149.34;84.38;33.02;54.87;1811.8074
341;3383.25;10149.34;84.01;41.48;55.34;2295.5032
342;3153.04;10151.24;89.75;48.89;56.28;2751.5292
342;3153.04;10151.24;89.25;41.26;57.17;2358.8342
342;3153.04;10151.24;88.75;35.82;57.54;2061.0828
342;3153.04;10151.24;88.25;42.15;58.18;2452.287
342;3153.04;10151.24;87.75;45.01;57.66;2595.2766
342;3153.04;10151.24;87.25;47.84;57.4;2746.016
342;3153.04;10151.24;86.75;37.31;58.23;2172.5613
343;2976.42;10151.62;89.75;-999;-999;-999
343;2976.42;10151.62;89.25;53.52;56.93;3046.8936
343;2976.42;10151.62;88.75;51.53;58.45;3011.9285
343;2976.42;10151.62;88.25;55.87;59.17;3305.8279
343;2976.42;10151.62;87.75;42.37;57.88;2452.3756
343;2976.42;10151.62;87.25;31.73;56.5;1792.745
343;2976.42;10151.62;86.75;58.46;59.23;3462.5858
343;2976.42;10151.62;86.25;45.3;57.29;2595.237
343;2976.42;10151.62;85.75;55.23;58.15;3211.6245
344;2779.84;10157.57;89.75;56.76;55.23;3134.8548
344;2779.84;10157.57;89.25;38.74;55.9;2165.566
344;2779.84;10157.57;88.75;48.95;56.48;2764.696
344;2779.84;10157.57;88.25;44.6;57.52;2565.392
344;2779.84;10157.57;87.75;51.9;58.93;3058.467
344;2779.84;10157.57;87.25;52.92;59.88;3168.8496
344;2779.84;10157.57;86.75;37.6;58.41;2196.216
344;2779.84;10157.57;86.25;43.2;57.67;2491.344
344;2779.84;10157.57;85.75;45.74;58.54;2677.6196
344;2779.84;10157.57;85.25;42.23;58.83;2484.3909
344;2779.84;10157.57;84.67;44.39;57.78;2564.8542
344;2779.84;10157.57;84.19;39.82;54.91;2186.5162
345;2565.47;10150.94;89.75;63.23;55.75;3525.0725
345;2565.47;10150.94;89.34;60.15;54.36;3269.754
345;2565.47;10150.94;88.84;55.71;56.02;3120.8742
345;2565.47;10150.94;88.34;55.81;57.05;3183.9605
345;2565.47;10150.94;87.84;40.01;58.5;2340.585
345;2565.47;10150.94;87.34;61.68;57.87;3569.4216
345;2565.47;10150.94;86.84;59.94;58.28;3493.3032
345;2565.47;10150.94;86.34;37.44;57.41;2149.4304
346;2374.1;10155.83;89.75;51.44;52.38;2694.4272
346;2374.1;10155.83;89.34;59.15;58.16;3440.164
346;2374.1;10155.83;88.84;66.46;59.71;3968.3266
346;2374.1;10155.83;88.34;48.47;59.33;2875.7251
346;2374.1;10155.83;87.84;55.32;59.11;3269.9652
346;2374.1;10155.83;87.34;31.36;57.19;1793.4784
346;2374.1;10155.83;86.84;43.54;59;2568.86
346;2374.1;10155.83;86.34;51.06;57.79;2950.7574
346;2374.1;10155.83;85.9;41.26;54.73;2258.1598
346;2374.1;10155.83;85.52;49.51;55.66;2755.7266
346;2374.1;10155.83;85.18;36.03;55.58;2002.5474
347;2177.38;10151.97;89.75;71.53;55.92;3999.9576
347;2177.38;10151.97;89.34;52.96;58.95;3121.992
347;2177.38;10151.97;88.84;46.66;58.31;2720.7446
347;2177.38;10151.97;88.34;53.21;57.49;3059.0429
347;2177.38;10151.97;87.84;50.48;55.29;2791.0392
347;2177.38;10151.97;87.34;55.58;56.83;3158.6114
347;2177.38;10151.97;86.84;48.09;52.42;2520.8778
347;2177.38;10151.97;86.34;28.04;53.94;1512.4776
348;1978.53;10154.55;89.75;81.65;59.88;4889.202
348;1978.53;10154.55;89.34;81.2;57.88;4699.856
348;1978.53;10154.55;88.84;61.3;59.9;3671.87
348;1978.53;10154.55;88.34;67.96;59.94;4073.5224
348;1978.53;10154.55;87.84;71.43;58.8;4200.084
348;1978.53;10154.55;87.34;69.69;56.21;3917.2749
348;1978.53;10154.55;86.84;52.59;54.82;2882.9838
348;1978.53;10154.55;86.41;42.67;52.69;2248.2823
348;1978.53;10154.55;86.01;36.56;51.44;1880.6464
349;1770.76;10159.44;89.75;77.07;54.46;4197.2322
349;1770.76;10159.44;89.25;63.74;56.33;3590.4742
349;1770.76;10159.44;88.75;62.42;57.06;3561.6852
349;1770.76;10159.44;88.25;69.33;57.05;3955.2765
349;1770.76;10159.44;87.75;73.36;59.24;4345.8464
349;1770.76;10159.44;87.25;71.18;56.46;4018.8228
349;1770.76;10159.44;86.75;74.98;55.19;4138.1462
349;1770.76;10159.44;86.25;64.05;56.75;3634.8375
349;1770.76;10159.44;85.75;36.59;55.02;2013.1818
350;1581.37;10153.68;89.75;55.92;58.93;3295.3656
350;1581.37;10153.68;89.25;51.15;59.31;3033.7065
350;1581.37;10153.68;88.75;51.14;59.43;3039.2502
350;1581.37;10153.68;88.25;64.07;59.94;3840.3558
350;1581.37;10153.68;87.75;61.26;59.81;3663.9606
350;1581.37;10153.68;87.25;50.33;58.6;2949.338
350;1581.37;10153.68;86.66;56.78;58.64;3329.5792
350;1581.37;10153.68;86.16;32.05;53.84;1725.572
351;1393.76;10151.6;89.75;62.53;60.46;3780.5638
351;1393.76;10151.6;89.21;44.58;59.17;2637.7986
351;1393.76;10151.6;88.67;59.57;59.63;3552.1591
352;1177.94;10153.57;89.75;62.78;54.56;3425.2768
352;1177.94;10153.57;89.34;71.27;58.45;4165.7315
352;1177.94;10153.57;88.84;74.83;59.39;4444.1537
352;1177.94;10153.57;88.34;62.31;58.87;3668.1897
352;1177.94;10153.57;87.84;52.66;59.44;3130.1104
352;1177.94;10153.57;87.28;52.84;58.16;3073.1744
353;980.08;10152.44;89.75;51.18;59.18;3028.8324
353;980.08;10152.44;89.3;60.37;57.8;3489.386
354;783.27;10153.18;89.75;65.09;55.57;3617.0513
354;783.27;10153.18;89.34;73.54;58.09;4271.9386
354;783.27;10153.18;88.84;64.92;59.33;3851.7036
354;783.27;10153.18;88.34;56.84;59.21;3365.4964
354;783.27;10153.18;87.84;69.14;59.26;4097.2364
354;783.27;10153.18;87.34;66.39;59.11;3924.3129
354;783.27;10153.18;86.84;61.81;58.85;3637.5185
354;783.27;10153.18;86.34;42.28;57.3;2422.644
354;783.27;10153.18;85.84;53.22;56.74;3019.7028
354;783.27;10153.18;85.34;45.94;56.58;2599.2852
355;587.95;10151.07;89.75;70.76;50.37;3564.1812
355;587.95;10151.07;89.34;67.53;54.32;3668.2296
355;587.95;10151.07;88.84;59.8;55.89;3342.222
355;587.95;10151.07;88.34;54.4;55.14;2999.616
355;587.95;10151.07;87.84;53.54;57.95;3102.643
355;587.95;10151.07;87.34;33.02;54.51;1799.9202
355;587.95;10151.07;86.84;53.62;54.03;2897.0886
355;587.95;10151.07;86.34;44.19;54.21;2395.5399
355;587.95;10151.07;85.83;48.91;56.73;2774.6643
355;587.95;10151.07;85.42;43.51;55.69;2423.0719
357;2562.95;8153.71;89.75;73.51;56.82;4176.8382
357;2562.95;8153.71;89.34;76.47;58.18;4449.0246
357;2562.95;8153.71;88.84;73.72;59.27;4369.3844
357;2562.95;8153.71;88.34;66.54;59.5;3959.13
357;2562.95;8153.71;87.84;73.11;58.76;4295.9436
357;2562.95;8153.71;87.34;62.93;58.32;3670.0776
357;2562.95;8153.71;86.84;68.38;57.84;3955.0992
357;2562.95;8153.71;86.34;60.76;55.8;3390.408
357;2562.95;8153.71;85.84;71.71;57.44;4119.0224
357;2562.95;8153.71;85.34;56.78;59.7;3389.766
357;2562.95;8153.71;84.84;55.22;57.89;3196.6858
357;2562.95;8153.71;84.34;31.18;56.98;1776.6364
357;2562.95;8153.71;83.84;16.89;49.29;832.5081
357;2562.95;8153.71;83.34;46.92;51.88;2434.2096
357;2562.95;8153.71;82.94;39.85;55.56;2214.066
357;2562.95;8153.71;82.62;27.85;54.77;1525.3445
358;578.53;9945.13;89.75;72.61;54.25;3939.0925
358;578.53;9945.13;89.34;69.68;57.43;4001.7224
358;578.53;9945.13;88.84;67.02;59.42;3982.3284
358;578.53;9945.13;88.34;74.03;60.89;4507.6867
358;578.53;9945.13;87.84;75.55;60.84;4596.462
358;578.53;9945.13;87.34;66.76;60.84;4061.6784
358;578.53;9945.13;86.84;73.81;60.67;4478.0527
358;578.53;9945.13;86.34;59.53;59.91;3566.4423
358;578.53;9945.13;85.9;59.07;59.43;3510.5301
358;578.53;9945.13;85.51;52.73;57.34;3023.5382
358;578.53;9945.13;85.16;46.11;57.97;2672.9967
359;755.39;9939.54;89.75;61.48;59.2;3639.616
359;755.39;9939.54;89.34;72.19;59.76;4314.0744
359;755.39;9939.54;88.84;70.02;60.74;4253.0148
359;755.39;9939.54;88.34;73.15;60.46;4422.649
359;755.39;9939.54;87.84;67.93;60.74;4126.0682
359;755.39;9939.54;87.36;66.64;60.67;4043.0488
359;755.39;9939.54;86.96;41.83;59.23;2477.5909
360;949.15;9946.73;89.75;72.99;57.01;4161.1599
360;949.15;9946.73;89.34;68.71;59.66;4099.2386
360;949.15;9946.73;88.84;69.52;59.69;4149.6488
360;949.15;9946.73;88.34;69.25;59.84;4143.92
360;949.15;9946.73;87.84;65.61;60.55;3972.6855
360;949.15;9946.73;87.34;71.26;60.67;4323.3442
360;949.15;9946.73;86.93;53.64;59.68;3201.2352
360;949.15;9946.73;86.61;45.13;58.11;2622.5043
361;1157.53;9948.59;89.75;70.85;58.04;4112.134
362;1360.65;9948.25;89.75;66.58;59.05;3931.549
362;1360.65;9948.25;89.34;60.36;59.74;3605.9064
362;1360.65;9948.25;88.84;71.29;59.32;4228.9228
362;1360.65;9948.25;88.34;60.97;58.62;3574.0614
362;1360.65;9948.25;87.84;46.85;58.22;2727.607
362;1360.65;9948.25;87.25;48.49;57.54;2790.1146
362;1360.65;9948.25;86.76;37.46;56.87;2130.3502
363;1573.7;9939.37;89.75;71.63;58.12;4163.1356
363;1573.7;9939.37;89.25;62.87;59.18;3720.6466
363;1573.7;9939.37;88.75;69.68;58.63;4085.3384
363;1573.7;9939.37;88.25;74.43;58.81;4377.2283
363;1573.7;9939.37;87.75;56.19;59.61;3349.4859
363;1573.7;9939.37;87.2;49.48;58.32;2885.6736
363;1573.7;9939.37;86.75;41.05;56.85;2333.6925
364;1786.01;9936.99;89.75;79.76;56.84;4533.5584
364;1786.01;9936.99;89.34;70.86;59.46;4213.3356
364;1786.01;9936.99;88.84;60.4;59.53;3595.612
364;1786.01;9936.99;88.34;52.22;56.03;2925.8866
364;1786.01;9936.99;87.84;59.09;57.59;3402.9931
364;1786.01;9936.99;87.34;59.44;59.04;3509.3376
364;1786.01;9936.99;86.84;52.13;53.29;2778.0077
364;1786.01;9936.99;86.34;60.14;53.5;3217.49
364;1786.01;9936.99;85.91;57.58;56.62;3260.1796
364;1786.01;9936.99;85.53;47.38;53.44;2531.9872
364;1786.01;9936.99;85.19;45.43;55.11;2503.6473
365;1985.56;9937.02;89.75;81.45;53.37;4346.9865
365;1985.56;9937.02;89.25;57.54;55.92;3217.6368
365;1985.56;9937.02;88.75;74.06;58.24;4313.2544
365;1985.56;9937.02;88.25;73.72;58.28;4296.4016
365;1985.56;9937.02;87.75;66.82;58.33;3897.6106
365;1985.56;9937.02;87.25;60.74;58.1;3528.994
365;1985.56;9937.02;86.75;59.35;56.27;3339.6245
365;1985.56;9937.02;86.22;48.12;55.3;2661.036
366;2163.18;9940.22;89.75;68.39;57.59;3938.5801
366;2163.18;9940.22;89.25;64.32;58.34;3752.4288
366;2163.18;9940.22;88.75;50.73;58.96;2991.0408
366;2163.18;9940.22;88.25;63.04;59.41;3745.2064
366;2163.18;9940.22;87.75;61.41;59.39;3647.1399
366;2163.18;9940.22;87.25;49.99;58.91;2944.9109
366;2163.18;9940.22;86.75;58.98;59;3479.82
366;2163.18;9940.22;86.3;49.83;55.86;2783.5038
366;2163.18;9940.22;85.89;44.73;55.5;2482.515
366;2163.18;9940.22;85.53;44.52;55.18;2456.6136
367;2376.13;9944.01;89.75;67.51;57.43;3877.0993
367;2376.13;9944.01;89.34;48.66;57.69;2807.1954
367;2376.13;9944.01;88.84;58.32;59.47;3468.2904
367;2376.13;9944.01;88.34;70.95;60.1;4264.095
367;2376.13;9944.01;87.89;52.02;58.69;3053.0538
367;2376.13;9944.01;87.49;56.54;58.68;3317.7672
367;2376.13;9944.01;87.14;42.85;59;2528.15
368;2614.32;9963.37;89.75;51.32;52.34;2686.0888
368;2614.32;9963.37;89.25;49.64;50.45;2504.338
368;2614.32;9963.37;88.75;53.64;55.68;2986.6752
368;2614.32;9963.37;88.25;64.44;57.63;3713.6772
368;2614.32;9963.37;87.75;58.58;58.13;3405.2554
368;2614.32;9963.37;87.25;38.26;57.93;2216.4018
368;2614.32;9963.37;86.76;37.52;57.49;2157.0248
369;2752.24;9958.07;89.75;63.76;55.95;3567.372
369;2752.24;9958.07;89.25;56.36;54.61;3077.8196
369;2752.24;9958.07;88.75;64.89;57.5;3731.175
369;2752.24;9958.07;88.25;62.33;57.99;3614.5167
369;2752.24;9958.07;87.75;44.28;56.45;2499.606
370;2839.55;9958.6;89.75;65.53;51.98;3406.2494
370;2839.55;9958.6;89.25;62.15;53.38;3317.567
370;2839.55;9958.6;88.75;65.13;54.95;3578.8935
370;2839.55;9958.6;88.25;67.01;55.51;3719.7251
371;3173.27;9960.98;89.75;59.78;57.14;3415.8292
371;3173.27;9960.98;89.25;56.91;58.94;3354.2754
371;3173.27;9960.98;88.75;59.26;59;3496.34
371;3173.27;9960.98;88.25;53.33;58.3;3109.139
371;3173.27;9960.98;87.75;64.19;58.37;3746.7703
371;3173.27;9960.98;87.25;55.99;57.23;3204.3077
371;3173.27;9960.98;86.75;50.77;54.89;2786.7653
371;3173.27;9960.98;86.31;55.12;56.19;3097.1928
371;3173.27;9960.98;85.94;53.7;58.24;3127.488
371;3173.27;9960.98;85.59;51.32;58.66;3010.4312
372;3374.24;9957.2;89.75;78;59.15;4613.7
372;3374.24;9957.2;89.25;74.1;58.95;4368.195
372;3374.24;9957.2;88.75;68.34;57.52;3930.9168
372;3374.24;9957.2;88.25;70.33;57.38;4035.5354
372;3374.24;9957.2;87.75;54.42;56.22;3059.4924
372;3374.24;9957.2;87.25;65.54;58.37;3825.5698
372;3374.24;9957.2;86.75;58.44;57.24;3345.1056
372;3374.24;9957.2;86.25;50.06;56.59;2832.8954
372;3374.24;9957.2;85.83;63.53;57.97;3682.8341
373;3581.6;9950.58;89.75;76.52;51.93;3973.6836
373;3581.6;9950.58;89.35;72.64;56.7;4118.688
373;3581.6;9950.58;88.77;57.09;57.73;3295.8057
373;3581.6;9950.58;88.29;56.16;57.66;3238.1856
374;3782.77;9940.59;89.75;75.85;56.18;4261.253
374;3782.77;9940.59;89.34;68.43;58.35;3992.8905
374;3782.77;9940.59;88.84;80.02;58.75;4701.175
374;3782.77;9940.59;88.23;56.46;57.83;3265.0818
375;3983.5;9946.15;89.75;81.33;54.99;4472.3367
375;3983.5;9946.15;89.34;66.95;57.18;3828.201
375;3983.5;9946.15;88.84;67.86;58.21;3950.1306
375;3983.5;9946.15;88.34;67.57;59.57;4025.1449
375;3983.5;9946.15;87.84;76.05;59.24;4505.202
375;3983.5;9946.15;87.34;76.85;59.25;4553.3625
376;4185.89;9955.95;89.75;77.39;57.85;4477.0115
376;4185.89;9955.95;89.34;53.44;59.2;3163.648
376;4185.89;9955.95;88.84;67.91;61.13;4151.3383
376;4185.89;9955.95;88.34;53.11;61.8;3282.198
376;4185.89;9955.95;87.84;69.6;60.33;4198.968
376;4185.89;9955.95;87.34;46.05;58.74;2704.977
376;4185.89;9955.95;86.84;55.02;56.8;3125.136
376;4185.89;9955.95;86.34;34.22;56.71;1940.6162
377;4386.96;9952.79;89.75;59.74;54.86;3277.3364
377;4386.96;9952.79;89.34;71.82;56.42;4052.0844
377;4386.96;9952.79;88.84;61.35;54.68;3354.618
377;4386.96;9952.79;88.34;58.16;53.76;3126.6816
377;4386.96;9952.79;87.84;48.22;56.67;2732.6274
378;4586.28;9943.93;89.75;62.71;57.16;3584.5036
378;4586.28;9943.93;89.34;58.95;57.72;3402.594
378;4586.28;9943.93;88.84;73.75;57.62;4249.475
378;4586.28;9943.93;88.34;78.9;58.17;4589.613
378;4586.28;9943.93;87.84;66.42;61.99;4117.3758
378;4586.28;9943.93;87.36;46.98;59.03;2773.2294
379;4573.48;9754.13;89.75;61.99;58.9;3651.211
379;4573.48;9754.13;89.34;52.06;59.9;3118.394
379;4573.48;9754.13;88.84;50.74;58.51;2968.7974
379;4573.48;9754.13;88.34;56.32;58.23;3279.5136
379;4573.48;9754.13;87.84;50.13;59.25;2970.2025
379;4573.48;9754.13;87.34;62.97;60.11;3785.1267
379;4573.48;9754.13;86.84;57.5;58.58;3368.35
379;4573.48;9754.13;86.34;44.07;58.07;2559.1449
380;4362.3;9756.72;89.75;59.9;55.04;3296.896
380;4362.3;9756.72;89.34;74.49;57.14;4256.3586
380;4362.3;9756.72;88.84;59.44;56.94;3384.5136
380;4362.3;9756.72;88.34;63.11;57.75;3644.6025
380;4362.3;9756.72;87.84;55.25;58.91;3254.7775
380;4362.3;9756.72;87.34;49.6;58.63;2908.048
380;4362.3;9756.72;86.84;70.7;59.69;4220.083
380;4362.3;9756.72;86.34;40.84;59.52;2430.7968
380;4362.3;9756.72;85.84;45.4;58.85;2671.79
381;4183.81;9755.65;89.75;64.96;55.68;3616.9728
381;4183.81;9755.65;89.25;53.19;59.47;3163.2093
381;4183.81;9755.65;88.75;54.45;60.32;3284.424
381;4183.81;9755.65;88.25;57.48;60;3448.8
381;4183.81;9755.65;87.75;50.07;60.75;3041.7525
381;4183.81;9755.65;87.25;45.79;60.8;2784.032
381;4183.81;9755.65;86.75;66.68;61.32;4088.8176
381;4183.81;9755.65;86.25;58.15;59.97;3487.2555
381;4183.81;9755.65;85.75;33.84;59.29;2006.3736
382;3986.25;9757.12;89.75;73.15;55.89;4088.3535
382;3986.25;9757.12;89.34;68.71;58.74;4036.0254
382;3986.25;9757.12;88.84;65.57;58.96;3866.0072
382;3986.25;9757.12;88.34;56.03;59.02;3306.8906
382;3986.25;9757.12;87.84;56.79;57.92;3289.2768
382;3986.25;9757.12;87.34;44.68;57.49;2568.6532
382;3986.25;9757.12;86.84;44.79;57.59;2579.4561
382;3986.25;9757.12;86.27;41.66;58.16;2422.9456
383;3782.53;9755.29;89.75;37.94;54.02;2049.5188
383;3782.53;9755.29;89.34;45.25;59.53;2693.7325
383;3782.53;9755.29;88.84;43.76;59.76;2615.0976
383;3782.53;9755.29;88.34;45.37;59.64;2705.8668
383;3782.53;9755.29;87.84;42.17;59.55;2511.2235
383;3782.53;9755.29;87.34;58.96;56.9;3354.824
383;3782.53;9755.29;86.9;61.16;58.16;3557.0656
385;3390.7;9748.53;89.75;49.13;54.5;2677.585
385;3390.7;9748.53;89.25;45.13;55.53;2506.0689
385;3390.7;9748.53;88.75;49.28;56.67;2792.6976
385;3390.7;9748.53;88.25;52.48;55.61;2918.4128
386;3165.85;9752.69;89.75;62.06;56.94;3533.6964
386;3165.85;9752.69;89.25;41.64;56.7;2360.988
386;3165.85;9752.69;88.75;37.9;57.16;2166.364
386;3165.85;9752.69;88.25;35.41;56.99;2018.0159
386;3165.85;9752.69;87.75;40.78;54.66;2229.0348
386;3165.85;9752.69;87.25;58.02;55.86;3240.9972
386;3165.85;9752.69;86.75;49.64;57.11;2834.9404
386;3165.85;9752.69;86.25;33.66;57.75;1943.865
386;3165.85;9752.69;85.64;32.06;56.91;1824.5346
387;2966.15;9745.97;89.75;69.11;56.43;3899.8773
387;2966.15;9745.97;89.25;61.75;58.87;3635.2225
387;2966.15;9745.97;88.75;43.87;56.65;2485.2355
387;2966.15;9745.97;88.25;41.32;58.01;2396.9732
387;2966.15;9745.97;87.75;48.69;57.33;2791.3977
387;2966.15;9745.97;87.25;51.27;58.87;3018.2649
387;2966.15;9745.97;86.85;50.78;57.57;2923.4046
388;2763.62;9755.44;89.75;58.21;51.72;3010.6212
388;2763.62;9755.44;89.34;49.94;56.68;2830.5992
389;2573.27;9751.44;89.75;75.27;50.63;3810.9201
389;2573.27;9751.44;89.34;74.2;49.75;3691.45
389;2573.27;9751.44;88.84;62.1;53.23;3305.583
390;2408.02;9752.92;89.75;35.25;51.37;1810.7925
390;2408.02;9752.92;89.3;37.53;52.26;1961.3178
391;2190.03;9758.66;89.75;59.95;56.95;3414.1525
392;1990.87;9752.1;89.75;71.91;54.94;3950.7354
392;1990.87;9752.1;89.34;71.29;54.65;3895.9985
392;1990.87;9752.1;88.84;60.45;52.71;3186.3195
392;1990.87;9752.1;88.42;46.83;51.21;2398.1643
393;1789.17;9757.88;89.75;68.51;56.71;3885.2021
393;1789.17;9757.88;89.34;59.09;57.07;3372.2663
393;1789.17;9757.88;88.84;39.93;55.61;2220.5073
393;1789.17;9757.88;88.34;43.06;56.33;2425.5698
393;1789.17;9757.88;87.84;47.27;56;2647.12
393;1789.17;9757.88;87.34;45.14;56.99;2572.5286
393;1789.17;9757.88;86.84;40.31;57.46;2316.2126
393;1789.17;9757.88;86.38;56.56;57.57;3256.1592
393;1789.17;9757.88;86.01;38.83;56.12;2179.1396
394;1584.8;9755.71;89.75;55.83;57.1;3187.893
394;1584.8;9755.71;89.34;60.8;57.26;3481.408
394;1584.8;9755.71;88.84;61.13;58.08;3550.4304
394;1584.8;9755.71;88.25;53.51;58.04;3105.7204
